172.31.146.153,172.31.1.6,DNS,86,Standard query 0x8726 A ads.adaptv.advertising.com
4.2.2.2,172.31.3.121,DNS,369,Standard query response 0x9c6f A control.adap.tv CNAME control.adap.tv.akadns.net CNAME control-eu-local.adap.tv.akadns.net CNAME control-eu.adap.tv CNAME ads-1460635594.eu-central-1.elb.amazonaws.com A 54.93.120.130 A 52.29.23.183 A 54.93.112.178 A 52.29.69.90 A 52.29.20.216 A 52.29.179.202 A 52.58.94.247 A 52.29.68.43 OPT
208.67.220.123,172.31.3.121,DNS,160,Standard query response 0x06d9 DS shephertz.com SOA a.gtld-servers.net OPT
172.31.3.121,172.31.1.6,DNS,547,Standard query response 0x5c9a A ads.adaptv.advertising.com CNAME control.adap.tv CNAME control.adap.tv.akadns.net CNAME control-ap.adap.tv CNAME control-jp.adap.tv CNAME ads-816899299.ap-southeast-1.elb.amazonaws.com A 54.169.89.134 A 54.169.20.98 A 54.254.130.65 A 52.76.166.254 A 54.255.156.80 A 54.255.210.99 A 52.76.3.166 A 54.254.141.105 NS j.gtld-servers.net NS k.gtld-servers.net NS a.gtld-servers.net NS l.gtld-servers.net NS m.gtld-servers.net NS i.gtld-servers.net NS b.gtld-servers.net NS c.gtld-servers.net NS h.gtld-servers.net
8.8.8.8,172.31.3.121,DNS,171,Standard query response 0x1a7c A b-0.19-a3000408.91481.16a8.ab2.3ea4.410.0.922hul8s3rpvb6ilklve6b3a86.avts.mcafee.com A 127.192.0.128 OPT
172.31.3.121,172.31.1.6,DNS,384,Standard query response 0xabfa A b-0.19-a3000408.91481.16a8.ab2.3ea4.410.0.922hul8s3rpvb6ilklve6b3a86.avts.mcafee.com A 127.192.0.128 NS l.gtld-servers.net NS i.gtld-servers.net NS k.gtld-servers.net NS e.gtld-servers.net NS d.gtld-servers.net NS c.gtld-servers.net NS m.gtld-servers.net NS a.gtld-servers.net NS j.gtld-servers.net NS g.gtld-servers.net NS f.gtld-servers.net NS h.gtld-servers.net NS b.gtld-servers.net
172.31.126.87,172.31.1.6,DNS,79,Standard query 0x5b88 A mmi648.whatsapp.net
172.31.121.18,172.31.1.6,DNS,87,Standard query 0xbf2d A googleads.g.doubleclick.net
4.2.2.2,172.31.3.121,DNS,137,Standard query response 0x22eb A v7.stats.avast.com A 46.4.28.78 A 173.193.216.165 A 162.210.193.159 OPT
172.31.3.121,172.31.1.6,DNS,350,Standard query response 0x9f09 A v7.stats.avast.com A 46.4.28.78 A 173.193.216.165 A 162.210.193.159 NS k.gtld-servers.net NS l.gtld-servers.net NS f.gtld-servers.net NS g.gtld-servers.net NS h.gtld-servers.net NS c.gtld-servers.net NS m.gtld-servers.net NS b.gtld-servers.net NS d.gtld-servers.net NS i.gtld-servers.net NS a.gtld-servers.net NS e.gtld-servers.net NS j.gtld-servers.net
172.31.1.6,172.31.204.242,DNS,126,Standard query response 0x7814 A v7.stats.avast.com A 46.4.28.78 A 173.193.216.165 A 162.210.193.159
