172.31.1.6,172.31.170.115,DNS,269,Standard query response 0xf4cd A log.dmtry.com CNAME log-balancer-vpc-1-1401678100.us-east-1.elb.amazonaws.com A 52.2.40.204 A 54.88.107.238 A 52.20.90.196 A 52.21.125.16 A 54.209.11.240 A 54.236.84.233 A 54.174.19.253 A 54.88.159.19
172.31.145.50,172.31.1.6,DNS,84,Standard query 0x14ff AAAA dnl-00.geo.kaspersky.com
172.31.168.147,172.31.1.6,DNS,84,Standard query 0x4263 PTR 252.0.0.224.in-addr.arpa
74.82.42.42,172.31.3.121,DNS,122,Standard query response 0xaf36 DS apa.org SOA sun.apa.org
4.2.2.1,172.31.3.121,DNS,106,Standard query response 0x5423 A sdk.api.altamob.com A 52.77.212.37 OPT
172.31.131.214,172.31.1.6,DNS,86,Standard query 0x0ab2 A android.clients.google.com
172.31.131.214,172.31.1.6,DNS,76,Standard query 0x500d A mtalk.google.com
4.2.2.1,172.31.3.121,DNS,802,Standard query response 0xdfda DS veruta.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.3.121,172.31.1.6,DNS,448,Standard query response 0x23c9 A openx-cm.p.veruta.com CNAME rtb.p.veruta.com CNAME rtb-geo.p.veruta.com.akadns.net CNAME rtb-geo-west.veruta.com.akadns.net CNAME rtb-west1.p.veruta.com A 66.151.146.203 A 66.151.146.204 NS g.gtld-servers.net NS e.gtld-servers.net NS h.gtld-servers.net NS j.gtld-servers.net NS b.gtld-servers.net NS a.gtld-servers.net NS c.gtld-servers.net NS l.gtld-servers.net NS m.gtld-servers.net NS i.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net NS d.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,76,Standard query 0xac90 A rtb.p.veruta.com
172.31.3.121,172.31.1.6,DNS,425,Standard query response 0xac90 A rtb.p.veruta.com CNAME rtb-geo.p.veruta.com.akadns.net CNAME rtb-geo-west.veruta.com.akadns.net CNAME rtb-west1.p.veruta.com A 66.151.146.203 A 66.151.146.204 NS h.gtld-servers.net NS k.gtld-servers.net NS m.gtld-servers.net NS e.gtld-servers.net NS i.gtld-servers.net NS b.gtld-servers.net NS j.gtld-servers.net NS l.gtld-servers.net NS f.gtld-servers.net NS d.gtld-servers.net NS g.gtld-servers.net NS c.gtld-servers.net NS a.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,91,Standard query 0xf4b4 A rtb-geo.p.veruta.com.akadns.net
172.31.129.222,172.31.1.6,DNS,71,Standard query 0x0a05 A img.wynk.in
