172.31.107.94,172.31.1.6,DNS,83,Standard query 0x5968 A img-9gag-fun.9cache.com
4.2.2.3,172.31.3.121,DNS,801,Standard query response 0x3de3 DS tapad.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.3.121,172.31.1.6,DNS,386,Standard query response 0xbb25 A tapestry-eu.tapad.com CNAME vhosts-eu.tapad.com CNAME vhosts-am1.tapad.com A 185.57.60.186 A 185.57.60.185 NS f.gtld-servers.net NS c.gtld-servers.net NS d.gtld-servers.net NS i.gtld-servers.net NS m.gtld-servers.net NS k.gtld-servers.net NS a.gtld-servers.net NS b.gtld-servers.net NS e.gtld-servers.net NS g.gtld-servers.net NS j.gtld-servers.net NS h.gtld-servers.net NS l.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,79,Standard query 0x8468 A vhosts-eu.tapad.com
172.31.3.121,172.31.1.6,DNS,360,Standard query response 0x8468 A vhosts-eu.tapad.com CNAME vhosts-am1.tapad.com A 185.57.60.186 A 185.57.60.185 NS l.gtld-servers.net NS j.gtld-servers.net NS f.gtld-servers.net NS a.gtld-servers.net NS k.gtld-servers.net NS m.gtld-servers.net NS b.gtld-servers.net NS e.gtld-servers.net NS g.gtld-servers.net NS h.gtld-servers.net NS d.gtld-servers.net NS i.gtld-servers.net NS c.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,80,Standard query 0x0237 A vhosts-am1.tapad.com
172.31.3.121,172.31.1.6,DNS,336,Standard query response 0x0237 A vhosts-am1.tapad.com A 185.57.60.186 A 185.57.60.185 NS a.gtld-servers.net NS c.gtld-servers.net NS i.gtld-servers.net NS l.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net NS e.gtld-servers.net NS d.gtld-servers.net NS m.gtld-servers.net NS b.gtld-servers.net NS h.gtld-servers.net NS g.gtld-servers.net NS j.gtld-servers.net
8.8.4.4,172.31.3.121,DNS,149,Standard query response 0x35ec A notif.9gag.com A 52.4.198.238 A 52.2.22.164 A 54.173.50.254 A 54.86.22.219 OPT
172.31.3.121,172.31.1.6,DNS,362,Standard query response 0x8671 A notif.9gag.com A 52.4.198.238 A 54.86.22.219 A 54.173.50.254 A 52.2.22.164 NS m.gtld-servers.net NS g.gtld-servers.net NS f.gtld-servers.net NS k.gtld-servers.net NS h.gtld-servers.net NS l.gtld-servers.net NS e.gtld-servers.net NS d.gtld-servers.net NS c.gtld-servers.net NS b.gtld-servers.net NS a.gtld-servers.net NS j.gtld-servers.net NS i.gtld-servers.net
8.8.8.8,172.31.132.232,DNS,182,Standard query response 0x0b2b A dev.ezviz7.com CNAME tdev.ezviz7.com CNAME lbs-860051718.ap-southeast-1.elb.amazonaws.com A 54.169.171.29 A 52.77.9.229
4.2.2.3,172.31.3.121,DNS,133,Standard query response 0x4001 A p30-contacts-current.edge.icloud.apple-dns.net A 17.248.144.186 OPT
4.2.2.3,172.31.3.121,DNS,256,Standard query response 0x3e48 A dc-kikabackend-com-1952483110.us-west-2.elb.amazonaws.com A 54.68.48.21 A 54.213.110.60 A 54.69.112.11 A 54.68.107.187 A 54.68.43.74 A 54.201.67.26 A 54.68.95.235 A 54.213.19.185 OPT
172.31.3.121,172.31.1.6,DNS,380,Standard query response 0x0624 A p30-contacts.icloud.com CNAME p30-contacts-current.edge.icloud.apple-dns.net A 17.248.144.186 NS h.gtld-servers.net NS f.gtld-servers.net NS a.gtld-servers.net NS l.gtld-servers.net NS d.gtld-servers.net NS c.gtld-servers.net NS g.gtld-servers.net NS j.gtld-servers.net NS e.gtld-servers.net NS m.gtld-servers.net NS i.gtld-servers.net NS k.gtld-servers.net NS b.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,106,Standard query 0x02f2 A p30-contacts-current.edge.icloud.apple-dns.net
172.31.3.121,172.31.1.6,DNS,499,Standard query response 0xeeb4 A dc.kika-backend.com CNAME dc-kikabackend-com-1952483110.us-west-2.elb.amazonaws.com A 54.68.107.187 A 54.68.95.235 A 54.68.48.21 A 54.213.19.185 A 54.68.43.74 A 54.201.67.26 A 54.213.110.60 A 54.69.112.11 NS b.gtld-servers.net NS e.gtld-servers.net NS g.gtld-servers.net NS j.gtld-servers.net NS h.gtld-servers.net NS m.gtld-servers.net NS i.gtld-servers.net NS l.gtld-servers.net NS d.gtld-servers.net NS a.gtld-servers.net NS c.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net
172.31.3.121,172.31.1.6,DNS,343,Standard query response 0x02f2 A p30-contacts-current.edge.icloud.apple-dns.net A 17.248.144.186 NS g.gtld-servers.net NS e.gtld-servers.net NS a.gtld-servers.net NS b.gtld-servers.net NS m.gtld-servers.net NS j.gtld-servers.net NS k.gtld-servers.net NS c.gtld-servers.net NS d.gtld-servers.net NS l.gtld-servers.net NS h.gtld-servers.net NS f.gtld-servers.net NS i.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,117,Standard query 0x3f4e A dc-kikabackend-com-1952483110.us-west-2.elb.amazonaws.com
172.31.1.6,172.31.63.82,DNS,159,Standard query response 0x15e0 A p30-contacts.icloud.com CNAME p30-contacts-current.edge.icloud.apple-dns.net A 17.248.144.186
172.31.3.121,172.31.1.6,DNS,469,Standard query response 0x3f4e A dc-kikabackend-com-1952483110.us-west-2.elb.amazonaws.com A 54.69.112.11 A 54.68.43.74 A 54.201.67.26 A 54.68.107.187 A 54.68.95.235 A 54.213.19.185 A 54.68.48.21 A 54.213.110.60 NS k.gtld-servers.net NS l.gtld-servers.net NS m.gtld-servers.net NS h.gtld-servers.net NS f.gtld-servers.net NS j.gtld-servers.net NS e.gtld-servers.net NS g.gtld-servers.net NS c.gtld-servers.net NS a.gtld-servers.net NS d.gtld-servers.net NS i.gtld-servers.net NS b.gtld-servers.net
8.8.4.4,172.31.3.121,DNS,226,Standard query response 0x94c4 A outlook.com A 132.245.113.194 A 132.245.13.210 A 132.245.21.82 A 132.245.81.130 A 157.56.237.242 A 157.56.242.98 A 132.245.17.34 A 132.245.23.242 A 132.245.92.194 OPT
8.8.4.4,172.31.3.121,DNS,209,Standard query response 0x89bd A onedrive.live.com CNAME webedgegeo.skyprod.akadns.net CNAME onedrive-live-com.a-0014.a-msedge.net CNAME a-0014.a-msedge.net A 204.79.197.217 OPT
172.31.1.8,172.31.165.69,DNS,235,Standard query response 0x6ef8 A download.cdn.mozilla.net CNAME 2-01-2967-001b.cdx.cedexis.net CNAME wildcard.cdn.mozilla.net.edgesuite.net CNAME a1284.g.akamai.net A 46.33.76.10 A 46.33.76.56
4.2.2.3,172.31.3.121,DNS,801,Standard query response 0xe4d4 DS 9apps.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.3.121,172.31.1.6,DNS,315,Standard query response 0x0a33 A down2.9apps.com A 8.37.229.77 NS i.gtld-servers.net NS e.gtld-servers.net NS a.gtld-servers.net NS f.gtld-servers.net NS m.gtld-servers.net NS j.gtld-servers.net NS g.gtld-servers.net NS c.gtld-servers.net NS h.gtld-servers.net NS d.gtld-servers.net NS b.gtld-servers.net NS l.gtld-servers.net NS k.gtld-servers.net
172.31.1.8,172.31.165.69,DNS,110,Standard query response 0x685e A a1284.g.akamai.net A 46.33.76.10 A 46.33.76.56
172.31.129.255,172.31.1.6,DNS,82,Standard query 0xdc6f A media-starag.startv.in
172.31.1.6,172.31.3.121,DNS,86,Standard query 0x8cea A tr001.skype-edf.akadns.net
4.2.2.3,172.31.3.121,DNS,204,Standard query response 0x4064 A dmp-prod-haproxyd-14y2amas34vrd-330219680.us-east-1.elb.amazonaws.com A 52.201.111.110 A 52.5.151.22 A 52.87.28.94 A 52.22.25.35 OPT
172.31.3.121,172.31.1.6,DNS,450,Standard query response 0x1916 A haproxy-dmp.sizmdx.com CNAME dmp-prod-haproxyd-14y2amas34vrd-330219680.us-east-1.elb.amazonaws.com A 52.87.28.94 A 52.5.151.22 A 52.201.111.110 A 52.22.25.35 NS f.gtld-servers.net NS j.gtld-servers.net NS i.gtld-servers.net NS e.gtld-servers.net NS b.gtld-servers.net NS k.gtld-servers.net NS d.gtld-servers.net NS a.gtld-servers.net NS h.gtld-servers.net NS g.gtld-servers.net NS l.gtld-servers.net NS c.gtld-servers.net NS m.gtld-servers.net
172.31.3.121,172.31.1.6,DNS,484,Standard query response 0x773b A datahub.serving-sys.com CNAME haproxy-dmp.sizmdx.com CNAME dmp-prod-haproxyd-14y2amas34vrd-330219680.us-east-1.elb.amazonaws.com A 52.5.151.22 A 52.22.25.35 A 52.201.111.110 A 52.87.28.94 NS g.gtld-servers.net NS l.gtld-servers.net NS m.gtld-servers.net NS c.gtld-servers.net NS a.gtld-servers.net NS j.gtld-servers.net NS f.gtld-servers.net NS i.gtld-servers.net NS k.gtld-servers.net NS h.gtld-servers.net NS b.gtld-servers.net NS e.gtld-servers.net NS d.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,129,Standard query 0x2fe1 A dmp-prod-haproxyd-14y2amas34vrd-330219680.us-east-1.elb.amazonaws.com
172.31.3.121,172.31.1.6,DNS,417,Standard query response 0x2fe1 A dmp-prod-haproxyd-14y2amas34vrd-330219680.us-east-1.elb.amazonaws.com A 52.201.111.110 A 52.22.25.35 A 52.87.28.94 A 52.5.151.22 NS f.gtld-servers.net NS i.gtld-servers.net NS h.gtld-servers.net NS k.gtld-servers.net NS b.gtld-servers.net NS a.gtld-servers.net NS d.gtld-servers.net NS e.gtld-servers.net NS j.gtld-servers.net NS l.gtld-servers.net NS m.gtld-servers.net NS g.gtld-servers.net NS c.gtld-servers.net
172.31.1.8,172.31.165.56,DNS,260,Standard query response 0x9020 A datahub.serving-sys.com CNAME haproxy-dmp.sizmdx.com CNAME dmp-prod-haproxyd-14y2amas34vrd-330219680.us-east-1.elb.amazonaws.com A 52.201.111.110 A 52.22.25.35 A 52.87.28.94 A 52.5.151.22
172.31.1.6,172.31.3.121,DNS,83,Standard query 0x93da A officecdn.microsoft.com
172.31.3.121,172.31.1.6,DNS,543,Standard query response 0x93da A officecdn.microsoft.com CNAME officecdn15.c2r.microsoft.com.akadns.net CNAME officecdn15-worldwide.c2r.microsoft.com.akadns.net CNAME 2-01-3f20-0003.cdx.cedexis.net CNAME officecdn-prod.microsoft.com.edgesuite.net CNAME officecdn-prod.microsoft.com.edgesuite.net.globalredir.akadns.net CNAME a1737.dspw65.akamai.net A 23.63.98.32 A 23.63.98.43 NS c.gtld-servers.net NS j.gtld-servers.net NS d.gtld-servers.net NS m.gtld-servers.net NS k.gtld-servers.net NS a.gtld-servers.net NS i.gtld-servers.net NS b.gtld-servers.net
172.31.1.6,172.31.139.20,DNS,83,Standard query response 0x01aa Server failure A officecdn.microsoft.com
8.8.8.8,172.31.3.121,DNS,87,Standard query response 0xc701 Server failure A five8.nydwhwi.ru OPT
172.31.1.6,172.31.139.237,DNS,121,Standard query response 0x7a0c A mtalk.google.com CNAME mobile-gtalk.l.google.com A 74.125.71.188
172.31.129.248,172.31.1.6,DNS,76,Standard query 0xe25a A dsn8.d.skype.net
172.31.1.8,172.31.166.23,DNS,160,Standard query response 0x9c5e A cdnjs.cloudflare.com A 198.41.215.68 A 198.41.215.67 A 198.41.214.67 A 198.41.215.66 A 198.41.214.68
172.31.129.255,172.31.1.6,DNS,80,Standard query 0xdfc2 A videoads.hotstar.com
172.31.1.6,172.31.3.121,DNS,80,Standard query 0x1677 A videoads.hotstar.com
4.2.2.3,172.31.3.121,DNS,113,Standard query response 0x0441 A secure.gslb.brightcove.com A 66.150.102.76 OPT
172.31.3.121,172.31.1.6,DNS,326,Standard query response 0x54ea A secure.gslb.brightcove.com A 66.150.102.76 NS l.gtld-servers.net NS h.gtld-servers.net NS k.gtld-servers.net NS g.gtld-servers.net NS f.gtld-servers.net NS m.gtld-servers.net NS c.gtld-servers.net NS j.gtld-servers.net NS i.gtld-servers.net NS d.gtld-servers.net NS a.gtld-servers.net NS b.gtld-servers.net NS e.gtld-servers.net
4.2.2.3,172.31.3.121,DNS,804,Standard query response 0x83f8 DS neatchat.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.1.6,172.31.137.241,DNS,101,Standard query response 0x8071 A s.imgur.com CNAME imgur.com A 185.31.19.193
172.31.1.6,172.31.3.121,DNS,91,Standard query 0xaf4b A xmpp.device45.prod.capptain.com
172.31.3.121,172.31.1.6,DNS,331,Standard query response 0xaf4b A xmpp.device45.prod.capptain.com A 54.82.112.78 NS b.gtld-servers.net NS e.gtld-servers.net NS a.gtld-servers.net NS i.gtld-servers.net NS m.gtld-servers.net NS j.gtld-servers.net NS h.gtld-servers.net NS d.gtld-servers.net NS l.gtld-servers.net NS c.gtld-servers.net NS f.gtld-servers.net NS g.gtld-servers.net NS k.gtld-servers.net
172.31.1.6,172.31.139.237,DNS,107,Standard query response 0x322c A xmpp.device45.prod.capptain.com A 54.82.112.78
8.8.4.4,172.31.3.121,DNS,122,Standard query response 0xba2f A a686.w10.akamai.net A 180.149.61.153 A 180.149.61.152 OPT
