172.31.1.8,172.31.167.22,DNS,86,Standard query response 0x2170 A google.com A 216.58.198.238
4.2.2.4,172.31.3.121,DNS,803,Standard query response 0x3e4f DS sonyliv.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.3.121,172.31.1.6,DNS,321,Standard query response 0x9230 A ravi1312.autoddns.com A 120.56.245.242 NS h.gtld-servers.net NS e.gtld-servers.net NS i.gtld-servers.net NS b.gtld-servers.net NS g.gtld-servers.net NS c.gtld-servers.net NS a.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net NS l.gtld-servers.net NS d.gtld-servers.net NS m.gtld-servers.net NS j.gtld-servers.net
4.2.2.3,172.31.3.121,DNS,146,Standard query response 0xaaf0 A lb-28-392278233.us-west-2.elb.amazonaws.com A 54.218.24.62 A 54.186.241.209 OPT
172.31.3.121,172.31.1.6,DNS,355,Standard query response 0xb8dd A www.sonyliv.com CNAME d3tjlptlwwrtzk.cloudfront.net A 54.192.139.77 NS b.gtld-servers.net NS e.gtld-servers.net NS i.gtld-servers.net NS c.gtld-servers.net NS h.gtld-servers.net NS f.gtld-servers.net NS d.gtld-servers.net NS g.gtld-servers.net NS m.gtld-servers.net NS k.gtld-servers.net NS l.gtld-servers.net NS j.gtld-servers.net NS a.gtld-servers.net
172.31.3.121,172.31.1.6,DNS,400,Standard query response 0x12d5 A us.find.api.micloud.xiaomi.net CNAME lb-28-392278233.us-west-2.elb.amazonaws.com A 54.218.24.62 A 54.186.241.209 NS g.gtld-servers.net NS l.gtld-servers.net NS e.gtld-servers.net NS b.gtld-servers.net NS k.gtld-servers.net NS i.gtld-servers.net NS a.gtld-servers.net NS m.gtld-servers.net NS d.gtld-servers.net NS f.gtld-servers.net NS h.gtld-servers.net NS c.gtld-servers.net NS j.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,103,Standard query 0xf387 A lb-28-392278233.us-west-2.elb.amazonaws.com
172.31.3.121,172.31.1.6,DNS,359,Standard query response 0xf387 A lb-28-392278233.us-west-2.elb.amazonaws.com A 54.218.24.62 A 54.186.241.209 NS c.gtld-servers.net NS b.gtld-servers.net NS h.gtld-servers.net NS i.gtld-servers.net NS j.gtld-servers.net NS a.gtld-servers.net NS d.gtld-servers.net NS m.gtld-servers.net NS e.gtld-servers.net NS g.gtld-servers.net NS l.gtld-servers.net NS f.gtld-servers.net NS k.gtld-servers.net
172.31.151.1,172.31.1.6,DNS,79,Standard query 0xc49b A clients3.google.com
172.31.1.6,172.31.3.121,DNS,83,Standard query 0x46cd A officecdn.microsoft.com
172.31.3.121,172.31.1.6,DNS,543,Standard query response 0x46cd A officecdn.microsoft.com CNAME officecdn15.c2r.microsoft.com.akadns.net CNAME officecdn15-worldwide.c2r.microsoft.com.akadns.net CNAME 2-01-3f20-0003.cdx.cedexis.net CNAME officecdn-prod.microsoft.com.edgesuite.net CNAME officecdn-prod.microsoft.com.edgesuite.net.globalredir.akadns.net CNAME a1737.dspw65.akamai.net A 23.63.98.43 A 23.63.98.32 NS i.gtld-servers.net NS g.gtld-servers.net NS a.gtld-servers.net NS m.gtld-servers.net NS l.gtld-servers.net NS j.gtld-servers.net NS c.gtld-servers.net NS d.gtld-servers.net
172.31.1.6,172.31.139.20,DNS,83,Standard query response 0xd892 Server failure A officecdn.microsoft.com
172.31.105.130,172.31.1.6,DNS,75,Standard query 0x5fe2 A www.youtube.com
172.31.1.6,172.31.3.121,DNS,77,Standard query 0xc483 AAAA a990.g.akamai.net
172.31.1.8,172.31.166.86,DNS,161,Standard query response 0x953d A 495-trouter-easia-a.drip.trouter.io CNAME pip.495.trouter-easia-a.cloudapp.net A 168.63.212.169
172.31.1.6,172.31.139.202,DNS,300,Standard query response 0xc1cb A 48-courier.push.apple.com CNAME 48.courier-push-apple.com.akadns.net CNAME sjc-courier.push-apple.com.akadns.net A 17.249.12.15 A 17.249.12.23 A 17.249.12.19 A 17.249.12.20 A 17.249.12.18 A 17.249.12.21 A 17.249.12.16 A 17.249.12.14
208.67.220.220,172.31.3.121,DNS,107,Standard query response 0xab79 A clk.tradedoubler.com A 52.193.143.8 OPT
172.31.123.35,172.31.1.6,DNS,87,Standard query 0xb3f7 A safebrowsing.googleapis.com
172.31.126.0,172.31.1.6,DNS,146,Standard query 0xb7b0 A b-0.19-a3000408.8110081.16a8.ab2.3ea4.410.0.s11ktkcwm4pgztmm7q9ujb25ti.avts.mcafee.com
172.31.145.59,172.31.1.6,DNS,74,Standard query 0x78b5 A api.im.hike.in
172.31.145.59,172.31.1.6,DNS,79,Standard query 0x67c6 A clients3.google.com
172.31.145.59,172.31.1.6,DNS,74,Standard query 0x4843 A www.google.com
208.67.220.220,172.31.3.121,DNS,191,Standard query response 0x0b1a A microsoft.qualtrics.com CNAME wildcard.qualtrics.com.edgekey.net CNAME e7955.g.akamaiedge.net A 184.50.115.123 OPT
208.67.220.220,172.31.3.121,DNS,154,Standard query response 0xeb47 DS desiserials.tv SOA a5.nstld.com OPT
4.2.2.4,172.31.3.121,DNS,806,Standard query response 0xd8c9 DS teamviewer.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.3.121,172.31.1.6,DNS,322,Standard query response 0x73c0 A master1.teamviewer.com A 178.77.120.6 NS i.gtld-servers.net NS l.gtld-servers.net NS a.gtld-servers.net NS g.gtld-servers.net NS h.gtld-servers.net NS e.gtld-servers.net NS d.gtld-servers.net NS j.gtld-servers.net NS f.gtld-servers.net NS m.gtld-servers.net NS k.gtld-servers.net NS c.gtld-servers.net NS b.gtld-servers.net
172.31.3.121,172.31.1.6,DNS,322,Standard query response 0xdb3c A master6.teamviewer.com A 178.77.120.100 NS e.gtld-servers.net NS i.gtld-servers.net NS b.gtld-servers.net NS j.gtld-servers.net NS k.gtld-servers.net NS m.gtld-servers.net NS c.gtld-servers.net NS d.gtld-servers.net NS l.gtld-servers.net NS a.gtld-servers.net NS f.gtld-servers.net NS g.gtld-servers.net NS h.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,81,Standard query 0x186f A cn1.client.akadns.net
172.31.3.121,172.31.1.6,DNS,430,Standard query response 0x186f A cn1.client.akadns.net A 77.67.10.132 A 77.67.10.134 A 213.200.111.122 A 213.200.111.116 A 213.200.111.114 A 77.67.10.141 A 77.67.10.140 A 77.67.10.150 NS i.gtld-servers.net NS m.gtld-servers.net NS c.gtld-servers.net NS j.gtld-servers.net NS g.gtld-servers.net NS f.gtld-servers.net NS h.gtld-servers.net NS b.gtld-servers.net NS d.gtld-servers.net NS l.gtld-servers.net NS e.gtld-servers.net NS a.gtld-servers.net NS k.gtld-servers.net
4.2.2.3,172.31.3.121,DNS,121,Standard query response 0x4bcf A a1755.q.akamai.net A 72.247.177.152 A 72.247.177.143 OPT
