172.31.122.18,172.31.1.6,DNS,78,Standard query 0xb509 A www.googleapis.com
172.31.147.102,172.31.1.6,DNS,76,Standard query 0x5596 AAAA dns.msftncsi.com
172.31.1.6,172.31.3.121,DNS,76,Standard query 0xdd52 AAAA dns.msftncsi.com
172.31.3.121,172.31.1.6,DNS,328,Standard query response 0xdd52 AAAA dns.msftncsi.com AAAA fd3e:4f5a:5b81::1 NS l.gtld-servers.net NS j.gtld-servers.net NS h.gtld-servers.net NS e.gtld-servers.net NS i.gtld-servers.net NS m.gtld-servers.net NS b.gtld-servers.net NS a.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net NS g.gtld-servers.net NS d.gtld-servers.net NS c.gtld-servers.net
172.31.150.74,172.31.1.6,DNS,82,Standard query 0xdb80 A client.wns.windows.com
209.244.0.4,172.31.3.121,DNS,808,Standard query response 0x1a06 DS tradedoubler.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.3.121,172.31.1.6,DNS,320,Standard query response 0x7e7b A clk.tradedoubler.com A 52.193.143.8 NS i.gtld-servers.net NS d.gtld-servers.net NS f.gtld-servers.net NS h.gtld-servers.net NS a.gtld-servers.net NS e.gtld-servers.net NS k.gtld-servers.net NS b.gtld-servers.net NS m.gtld-servers.net NS l.gtld-servers.net NS c.gtld-servers.net NS j.gtld-servers.net NS g.gtld-servers.net
172.31.111.100,172.31.1.6,DNS,82,Standard query 0xf18e A edge-mqtt.facebook.com
8.8.8.8,172.31.3.121,DNS,383,Standard query response 0x297a NS 172.in-addr.arpa NS y.arin.net NS z.arin.net NS x.arin.net NS arin.authdns.ripe.net NS u.arin.net NS r.arin.net RRSIG OPT
172.31.128.222,172.31.1.6,DNS,76,Standard query 0xca10 A www.facebook.com
172.31.1.6,172.31.3.121,DNS,81,Standard query 0x78ee A support.microsoft.com
172.31.1.6,172.31.3.121,DNS,83,Standard query 0x628c A officecdn.microsoft.com
209.244.0.4,172.31.3.121,DNS,113,Standard query response 0xc882 A e10088.dspb.akamaiedge.net A 23.215.69.39 OPT
172.31.3.121,172.31.1.6,DNS,543,Standard query response 0x628c A officecdn.microsoft.com CNAME officecdn15.c2r.microsoft.com.akadns.net CNAME officecdn15-worldwide.c2r.microsoft.com.akadns.net CNAME 2-01-3f20-0003.cdx.cedexis.net CNAME officecdn-prod.microsoft.com.edgesuite.net CNAME officecdn-prod.microsoft.com.edgesuite.net.globalredir.akadns.net CNAME a1737.dspw65.akamai.net A 23.63.98.32 A 23.63.98.43 NS c.gtld-servers.net NS e.gtld-servers.net NS j.gtld-servers.net NS i.gtld-servers.net NS b.gtld-servers.net NS a.gtld-servers.net NS f.gtld-servers.net NS m.gtld-servers.net
172.31.1.6,172.31.139.20,DNS,83,Standard query response 0x602b Server failure A officecdn.microsoft.com
172.31.3.121,172.31.1.6,DNS,323,Standard query response 0x2f3c A e10088.dspb.akamaiedge.net A 23.215.69.39 NS k.gtld-servers.net NS a.gtld-servers.net NS e.gtld-servers.net NS i.gtld-servers.net NS f.gtld-servers.net NS m.gtld-servers.net NS l.gtld-servers.net NS g.gtld-servers.net NS d.gtld-servers.net NS j.gtld-servers.net NS b.gtld-servers.net NS h.gtld-servers.net NS c.gtld-servers.net
172.31.1.4,125.19.40.90,DNS,65,Standard query 0x557b SOA ac.in
172.31.1.6,172.31.3.121,DNS,82,Standard query 0xb268 A ssw.live.com.nsatc.net
172.31.3.121,172.31.1.6,DNS,319,Standard query response 0xb268 A ssw.live.com.nsatc.net A 207.46.7.252 NS i.gtld-servers.net NS c.gtld-servers.net NS b.gtld-servers.net NS j.gtld-servers.net NS f.gtld-servers.net NS k.gtld-servers.net NS g.gtld-servers.net NS e.gtld-servers.net NS l.gtld-servers.net NS m.gtld-servers.net NS a.gtld-servers.net NS d.gtld-servers.net NS h.gtld-servers.net
172.31.1.6,172.31.137.131,DNS,124,Standard query response 0x9b4b A ssw.live.com CNAME ssw.live.com.nsatc.net A 207.46.7.252
209.244.0.4,172.31.3.121,DNS,792,Standard query response 0x0258 DS pandora.tv SOA a5.nstld.com RRSIG NSEC3 RRSIG NSEC3 RRSIG OPT
172.31.3.121,172.31.1.6,DNS,177,Standard query response 0x90b9 A trans-p2p.pandora.tv A 61.111.9.97 NS ac1.nstld.com NS ac2.nstld.com NS ac3.nstld.com NS ac4.nstld.com
172.31.1.6,172.31.169.202,DNS,96,Standard query response 0x8569 A trans-p2p.pandora.tv A 61.111.9.97
8.8.8.8,172.31.3.121,DNS,805,Standard query response 0x10c0 DS speedcdns.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.3.121,172.31.1.6,DNS,404,Standard query response 0x35e3 A zj.dcys.ksmobile.com CNAME zj.dcys.ksmobile.com.wscdns.com CNAME opthwjs.xdwscache.speedcdns.com A 103.1.138.39 NS b.gtld-servers.net NS j.gtld-servers.net NS e.gtld-servers.net NS f.gtld-servers.net NS m.gtld-servers.net NS h.gtld-servers.net NS k.gtld-servers.net NS l.gtld-servers.net NS i.gtld-servers.net NS g.gtld-servers.net NS a.gtld-servers.net NS c.gtld-servers.net NS d.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,91,Standard query 0x7b56 A opthwjs.xdwscache.speedcdns.com
172.31.3.121,172.31.1.6,DNS,331,Standard query response 0x7b56 A opthwjs.xdwscache.speedcdns.com A 103.1.138.39 NS d.gtld-servers.net NS c.gtld-servers.net NS b.gtld-servers.net NS e.gtld-servers.net NS a.gtld-servers.net NS l.gtld-servers.net NS m.gtld-servers.net NS h.gtld-servers.net NS i.gtld-servers.net NS k.gtld-servers.net NS g.gtld-servers.net NS j.gtld-servers.net NS f.gtld-servers.net
172.31.128.222,172.31.1.6,DNS,87,Standard query 0x41ef A star-mini.c10r.facebook.com
8.8.8.8,172.31.3.121,DNS,121,Standard query response 0x4c6f A www.insticator.com A 104.20.25.11 A 104.20.24.11 OPT
172.31.3.121,172.31.1.6,DNS,334,Standard query response 0x33f7 A www.insticator.com A 104.20.25.11 A 104.20.24.11 NS d.gtld-servers.net NS i.gtld-servers.net NS f.gtld-servers.net NS j.gtld-servers.net NS h.gtld-servers.net NS k.gtld-servers.net NS e.gtld-servers.net NS g.gtld-servers.net NS a.gtld-servers.net NS b.gtld-servers.net NS m.gtld-servers.net NS c.gtld-servers.net NS l.gtld-servers.net
172.31.1.8,172.31.166.136,DNS,110,Standard query response 0x8ddb A www.insticator.com A 104.20.25.11 A 104.20.24.11
172.31.109.102,172.31.1.6,DNS,78,Standard query 0xaa56 A www.googleapis.com
209.244.0.4,172.31.3.121,DNS,280,Standard query response 0x0921 A connect.tapjoy.com CNAME tapjoy-com-lb-1700688386.us-east-1.elb.amazonaws.com A 107.20.165.141 A 107.20.224.250 A 107.20.242.240 A 107.22.161.175 A 54.243.85.159 A 107.20.214.143 A 75.101.146.28 A 107.22.188.192 OPT
172.31.128.222,172.31.1.6,DNS,87,Standard query 0x9ea9 AAAA star-mini.c10r.facebook.com
8.8.8.8,172.31.3.121,DNS,286,Standard query response 0x945c A cdn-sic.33across.com CNAME cdn-sic.33across.com.cdn.cloudflare.net A 104.16.39.14 A 104.16.38.14 RRSIG OPT
209.244.0.4,172.31.3.121,DNS,211,Standard query response 0x1576 A cdn.insta.me A 54.230.136.78 A 54.230.136.108 A 54.230.136.25 A 54.230.136.248 A 54.230.136.17 A 54.230.136.194 A 54.230.136.148 A 54.230.136.13 OPT
172.31.111.100,172.31.1.6,DNS,79,Standard query 0xfe10 A clients3.google.com
209.244.0.4,172.31.3.121,DNS,118,Standard query response 0x5b9f A p-user.insta.me A 54.209.32.214 A 54.174.50.111 OPT
209.244.0.4,172.31.3.121,DNS,801,Standard query response 0x7210 DS avast.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.3.121,172.31.1.6,DNS,363,Standard query response 0xb54a A ui.ff.avast.com A 77.234.43.71 A 77.234.43.72 A 77.234.43.73 A 77.234.43.70 NS j.gtld-servers.net NS e.gtld-servers.net NS d.gtld-servers.net NS g.gtld-servers.net NS h.gtld-servers.net NS k.gtld-servers.net NS l.gtld-servers.net NS a.gtld-servers.net NS b.gtld-servers.net NS c.gtld-servers.net NS m.gtld-servers.net NS i.gtld-servers.net NS f.gtld-servers.net
8.8.8.8,172.31.3.121,DNS,228,Standard query response 0x8d5d A d1zx1085yu3oji.cloudfront.net A 54.230.175.45 A 54.230.175.186 A 54.230.175.166 A 54.230.175.170 A 54.230.175.47 A 54.230.175.62 A 54.230.175.158 A 54.230.175.159 OPT
172.31.3.121,172.31.1.6,DNS,438,Standard query response 0x47f0 A d1zx1085yu3oji.cloudfront.net A 54.230.175.45 A 54.230.175.186 A 54.230.175.158 A 54.230.175.166 A 54.230.175.47 A 54.230.175.170 A 54.230.175.159 A 54.230.175.62 NS m.gtld-servers.net NS k.gtld-servers.net NS c.gtld-servers.net NS g.gtld-servers.net NS b.gtld-servers.net NS a.gtld-servers.net NS l.gtld-servers.net NS i.gtld-servers.net NS h.gtld-servers.net NS f.gtld-servers.net NS e.gtld-servers.net NS j.gtld-servers.net NS d.gtld-servers.net
8.8.8.8,172.31.3.121,DNS,117,Standard query response 0x78bf A api.content.ad A 54.241.146.39 A 54.215.193.3 OPT
209.244.0.4,172.31.3.121,DNS,153,Standard query response 0x83a7 A images.search.yahoo.com CNAME ds1-global.l7.search.ystg1.b.yahoo.com A 98.137.250.95 OPT
172.31.3.121,172.31.1.6,DNS,366,Standard query response 0xc7e9 A images.search.yahoo.com CNAME ds1-global.l7.search.ystg1.b.yahoo.com A 106.10.170.150 NS h.gtld-servers.net NS m.gtld-servers.net NS d.gtld-servers.net NS b.gtld-servers.net NS g.gtld-servers.net NS c.gtld-servers.net NS e.gtld-servers.net NS j.gtld-servers.net NS f.gtld-servers.net NS a.gtld-servers.net NS l.gtld-servers.net NS k.gtld-servers.net NS i.gtld-servers.net
8.8.8.8,172.31.3.121,DNS,106,Standard query response 0x9a28 A c-0001.c-msedge.net A 13.107.4.50 OPT
209.244.0.4,172.31.3.121,DNS,155,Standard query response 0x6577 A shopping.search.yahoo.com CNAME ds1-global.l7.search.ystg1.b.yahoo.com A 98.137.250.95 OPT
172.31.3.121,172.31.1.6,DNS,368,Standard query response 0x6a53 A b1w8au.au-msedge.net CNAME b1w8au.c-0001.c-msedge.net CNAME c-0001.c-msedge.net A 13.107.4.50 NS c.gtld-servers.net NS m.gtld-servers.net NS h.gtld-servers.net NS k.gtld-servers.net NS i.gtld-servers.net NS j.gtld-servers.net NS g.gtld-servers.net NS a.gtld-servers.net NS f.gtld-servers.net NS b.gtld-servers.net NS e.gtld-servers.net NS d.gtld-servers.net NS l.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,86,Standard query 0x40e8 A b1w8au.c-0001.c-msedge.net
172.31.3.121,172.31.1.6,DNS,368,Standard query response 0x0407 A shopping.search.yahoo.com CNAME ds1-global.l7.search.ystg1.b.yahoo.com A 106.10.170.150 NS i.gtld-servers.net NS a.gtld-servers.net NS c.gtld-servers.net NS f.gtld-servers.net NS h.gtld-servers.net NS b.gtld-servers.net NS e.gtld-servers.net NS m.gtld-servers.net NS j.gtld-servers.net NS d.gtld-servers.net NS l.gtld-servers.net NS g.gtld-servers.net NS k.gtld-servers.net
172.31.3.121,172.31.1.6,DNS,337,Standard query response 0x40e8 A b1w8au.c-0001.c-msedge.net CNAME c-0001.c-msedge.net A 13.107.4.50 NS k.gtld-servers.net NS a.gtld-servers.net NS c.gtld-servers.net NS e.gtld-servers.net NS f.gtld-servers.net NS j.gtld-servers.net NS l.gtld-servers.net NS b.gtld-servers.net NS i.gtld-servers.net NS d.gtld-servers.net NS h.gtld-servers.net NS g.gtld-servers.net NS m.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,79,Standard query 0x4a8a A c-0001.c-msedge.net
