172.31.105.93,172.31.1.6,DNS,89,Standard query 0x7807 A fbcdn-photos-d-a.akamaihd.net
4.2.2.2,172.31.3.121,DNS,126,Standard query response 0x2f71 A a1404.dspw41.akamai.net A 104.86.110.202 A 104.86.110.171 OPT
172.31.3.121,172.31.1.6,DNS,336,Standard query response 0xe073 A a1404.dspw41.akamai.net A 104.86.110.202 A 104.86.110.171 NS h.gtld-servers.net NS m.gtld-servers.net NS i.gtld-servers.net NS k.gtld-servers.net NS c.gtld-servers.net NS e.gtld-servers.net NS l.gtld-servers.net NS g.gtld-servers.net NS f.gtld-servers.net NS b.gtld-servers.net NS a.gtld-servers.net NS j.gtld-servers.net NS d.gtld-servers.net
172.31.1.6,172.31.169.196,DNS,211,Standard query response 0xafe4 A fbcdn-sphotos-d-a.akamaihd.net CNAME fbcdn-sphotos-d-a.akamaihd.net.edgesuite.net CNAME a1404.dspw41.akamai.net A 104.86.110.202 A 104.86.110.171
4.2.2.2,172.31.3.121,DNS,283,Standard query response 0x496d A gtm02.nexac.com CNAME aws-p-or-tag-elb-01-2063342728.us-west-2.elb.amazonaws.com A 52.27.212.90 A 52.25.53.245 A 52.10.177.106 A 52.27.4.254 A 52.34.186.74 A 52.27.240.208 A 52.25.154.73 A 52.11.193.255 OPT
4.2.2.2,172.31.3.121,DNS,132,Standard query response 0xa53a A root.skype-edf.akadns.net CNAME tr001.skype-edf.akadns.net A 13.69.188.18 OPT
172.31.3.121,172.31.1.6,DNS,369,Standard query response 0x1c98 A go.trouter.io CNAME root.skype-edf.akadns.net CNAME tr001.skype-edf.akadns.net A 13.75.106.0 NS e.gtld-servers.net NS j.gtld-servers.net NS b.gtld-servers.net NS d.gtld-servers.net NS a.gtld-servers.net NS m.gtld-servers.net NS l.gtld-servers.net NS c.gtld-servers.net NS k.gtld-servers.net NS g.gtld-servers.net NS f.gtld-servers.net NS h.gtld-servers.net NS i.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,85,Standard query 0x8a49 A root.skype-edf.akadns.net
172.31.3.121,172.31.1.6,DNS,342,Standard query response 0x8a49 A root.skype-edf.akadns.net CNAME tr001.skype-edf.akadns.net A 13.75.106.0 NS b.gtld-servers.net NS j.gtld-servers.net NS i.gtld-servers.net NS e.gtld-servers.net NS l.gtld-servers.net NS h.gtld-servers.net NS c.gtld-servers.net NS a.gtld-servers.net NS g.gtld-servers.net NS m.gtld-servers.net NS f.gtld-servers.net NS d.gtld-servers.net NS k.gtld-servers.net
208.67.222.222,172.31.3.121,DNS,159,Standard query response 0xdc49 DS akamaihd.net SOA a.gtld-servers.net OPT
172.31.1.8,172.31.165.53,DNS,121,Standard query response 0x3351 A www.facebook.com CNAME star-mini.c10r.facebook.com A 31.13.90.36
172.31.149.23,172.31.1.6,DNS,89,Standard query 0x02a5 A fbcdn-photos-d-a.akamaihd.net
172.31.149.23,172.31.1.6,DNS,89,Standard query 0x32e0 A fbcdn-photos-c-a.akamaihd.net
208.67.222.222,172.31.3.121,DNS,238,Standard query response 0x3a87 A a2047.dspmm1.akamai.net A 124.124.252.114 A 124.124.252.107 A 124.124.252.104 A 124.124.252.56 A 124.124.252.105 A 124.124.252.98 A 124.124.252.51 A 124.124.252.106 A 124.124.252.113 OPT
172.31.3.121,172.31.1.6,DNS,448,Standard query response 0xdd6f A a2047.dspmm1.akamai.net A 124.124.252.105 A 124.124.252.106 A 124.124.252.56 A 124.124.252.104 A 124.124.252.107 A 124.124.252.114 A 124.124.252.98 A 124.124.252.51 A 124.124.252.113 NS b.gtld-servers.net NS j.gtld-servers.net NS d.gtld-servers.net NS c.gtld-servers.net NS k.gtld-servers.net NS m.gtld-servers.net NS g.gtld-servers.net NS l.gtld-servers.net NS h.gtld-servers.net NS i.gtld-servers.net NS f.gtld-servers.net NS e.gtld-servers.net NS a.gtld-servers.net
172.31.3.121,172.31.1.6,DNS,502,Standard query response 0xde2f A fbcdn-photos-d-a.akamaihd.net.edgesuite.net CNAME a2047.dspmm1.akamai.net A 124.124.252.98 A 124.124.252.105 A 124.124.252.114 A 124.124.252.51 A 124.124.252.104 A 124.124.252.107 A 124.124.252.113 A 124.124.252.106 A 124.124.252.56 NS h.gtld-servers.net NS e.gtld-servers.net NS b.gtld-servers.net NS d.gtld-servers.net NS f.gtld-servers.net NS l.gtld-servers.net NS j.gtld-servers.net NS m.gtld-servers.net NS c.gtld-servers.net NS k.gtld-servers.net NS i.gtld-servers.net NS a.gtld-servers.net NS g.gtld-servers.net
208.67.222.222,172.31.3.121,DNS,86,Standard query response 0xb507 Server failure A loginen.7pk.com OPT
172.31.1.8,172.31.165.53,DNS,103,Standard query response 0x2d68 A star-mini.c10r.facebook.com A 31.13.90.36
4.2.2.4,172.31.3.121,DNS,148,Standard query response 0x2af8 No such name NS 0.0.8.e.f.ip6.arpa SOA localhost OPT
172.31.109.145,172.31.1.6,DNS,88,Standard query 0x7868 A fbcdn-profile-a.akamaihd.net
4.2.2.2,172.31.3.121,DNS,159,Standard query response 0xec0c No such name PTR 99.140.115.181.in-addr.arpa SOA ns.entelnet.bo OPT
172.31.107.174,172.31.1.6,DNS,80,Standard query 0x076b A ssum.casalemedia.com
172.31.1.6,172.31.3.121,DNS,79,Standard query 0x4fcd A a1697.w7.akamai.net
172.31.107.174,172.31.1.6,DNS,75,Standard query 0xc329 A soma.smaato.net
172.31.1.6,172.31.137.3,DNS,173,Standard query response 0x2b15 A pmir.sec.miui.com CNAME lb-sec-01-1454681988.ap-southeast-1.elb.amazonaws.com A 52.76.69.185 A 54.169.21.166
172.31.1.6,172.31.139.133,DNS,122,Standard query response 0xb304 A edge-mqtt.facebook.com CNAME mqtt.c10r.facebook.com A 31.13.91.1
172.31.147.249,172.31.1.6,DNS,82,Standard query 0x29b0 A 2.android.pool.ntp.org
172.31.109.145,172.31.1.6,DNS,89,Standard query 0xa54a A fbcdn-photos-c-a.akamaihd.net
172.31.109.145,172.31.1.6,DNS,88,Standard query 0x2f0a A scontent-hkg3-1.xx.fbcdn.net
4.2.2.4,172.31.3.121,DNS,76,Standard query response 0xbe3c Refused DS doubleverify.com
119.81.212.83,172.31.165.118,TCP,66,"53  >  51503 [SYN, ACK] Seq=0 Ack=1 Win=2920 Len=0 MSS=1412 SACK_PERM=1 WS=8192"
4.2.2.2,172.31.3.121,DNS,69,Standard query response 0xa20a Refused DS adingo.jp
4.2.2.2,172.31.3.121,DNS,167,Standard query response 0x5fc5 A cmsecurity-368024931.us-west-2.elb.amazonaws.com A 54.200.38.205 A 54.191.167.134 A 52.27.94.41 OPT
172.31.3.121,172.31.1.6,DNS,380,Standard query response 0xfecd A cmsecurity-368024931.us-west-2.elb.amazonaws.com A 54.191.167.134 A 52.27.94.41 A 54.200.38.205 NS i.gtld-servers.net NS f.gtld-servers.net NS h.gtld-servers.net NS d.gtld-servers.net NS j.gtld-servers.net NS m.gtld-servers.net NS c.gtld-servers.net NS l.gtld-servers.net NS g.gtld-servers.net NS b.gtld-servers.net NS a.gtld-servers.net NS e.gtld-servers.net NS k.gtld-servers.net
172.31.3.121,172.31.1.6,DNS,414,Standard query response 0x6f30 A cmsecurity.ksmobile.com CNAME cmsecurity-368024931.us-west-2.elb.amazonaws.com A 52.27.94.41 A 54.200.38.205 A 54.191.167.134 NS b.gtld-servers.net NS i.gtld-servers.net NS f.gtld-servers.net NS m.gtld-servers.net NS d.gtld-servers.net NS g.gtld-servers.net NS k.gtld-servers.net NS j.gtld-servers.net NS h.gtld-servers.net NS a.gtld-servers.net NS e.gtld-servers.net NS c.gtld-servers.net NS l.gtld-servers.net
4.2.2.2,172.31.3.121,DNS,122,Standard query response 0xbc5a A a223.w10.akamai.net A 92.123.143.105 A 92.123.143.136 OPT
